timestamp,Michigan St.,Purdue
2026-02-26T00:04:00Z,28.00,
2026-02-26T00:19:00Z,28.00,
2026-02-26T00:25:00Z,28.00,
2026-02-26T00:26:00Z,28.00,
2026-02-26T00:48:00Z,28.00,
2026-02-26T01:05:00Z,27.83,71.94
2026-02-26T01:20:00Z,27.00,71.94
2026-02-26T01:23:00Z,27.00,73.00
2026-02-26T01:26:00Z,26.07,73.00
2026-02-26T01:27:00Z,26.07,73.00
2026-02-26T01:29:00Z,28.00,73.00
2026-02-26T01:30:00Z,27.91,73.00
2026-02-26T01:31:00Z,27.00,73.00
2026-02-26T01:32:00Z,27.00,73.00
2026-02-26T01:37:00Z,27.00,73.00
2026-02-26T01:46:00Z,27.00,73.00
2026-02-26T01:48:00Z,27.00,73.00
2026-02-26T01:51:00Z,25.69,73.00
2026-02-26T01:56:00Z,27.00,73.00
2026-02-26T01:58:00Z,27.00,73.00
2026-02-26T02:00:00Z,27.00,73.00
2026-02-26T02:05:00Z,27.00,73.00
2026-02-26T02:12:00Z,27.00,73.00
2026-02-26T02:14:00Z,24.14,73.00
2026-02-26T02:15:00Z,27.00,73.00
2026-02-26T02:17:00Z,27.00,74.00
2026-02-26T02:26:00Z,27.00,74.00
2026-02-26T02:35:00Z,27.00,74.00
2026-02-26T02:38:00Z,27.00,74.00
2026-02-26T02:45:00Z,27.00,74.00
2026-02-26T02:53:00Z,27.00,74.00
2026-02-26T02:55:00Z,27.00,74.00
2026-02-26T02:57:00Z,27.00,74.00
2026-02-26T03:00:00Z,27.00,74.00
2026-02-26T03:03:00Z,27.00,74.00
2026-02-26T03:04:00Z,27.00,74.00
2026-02-26T03:05:00Z,27.00,74.00
2026-02-26T03:08:00Z,27.00,74.00
2026-02-26T03:09:00Z,27.00,74.00
2026-02-26T03:10:00Z,27.00,74.00
2026-02-26T03:16:00Z,24.00,74.00
2026-02-26T03:17:00Z,27.00,74.00
2026-02-26T03:18:00Z,27.00,74.00
2026-02-26T03:23:00Z,27.00,74.00
2026-02-26T03:27:00Z,26.00,74.00
2026-02-26T03:28:00Z,26.00,74.00
2026-02-26T03:29:00Z,26.00,74.00
2026-02-26T03:30:00Z,26.00,74.00
2026-02-26T03:31:00Z,26.00,74.00
2026-02-26T03:36:00Z,26.00,74.00
2026-02-26T03:39:00Z,26.00,74.00
2026-02-26T03:40:00Z,26.00,74.00
2026-02-26T03:41:00Z,26.00,74.00
2026-02-26T03:43:00Z,26.00,74.00
2026-02-26T03:50:00Z,26.00,74.00
2026-02-26T03:56:00Z,26.00,74.00
2026-02-26T03:59:00Z,26.00,74.00
2026-02-26T04:00:00Z,26.00,74.00
2026-02-26T04:02:00Z,26.00,74.00
2026-02-26T04:04:00Z,26.00,74.00
2026-02-26T04:06:00Z,26.00,74.00
2026-02-26T04:08:00Z,26.00,74.00
2026-02-26T04:09:00Z,26.00,74.00
2026-02-26T04:14:00Z,26.00,74.00
2026-02-26T04:15:00Z,25.00,74.00
2026-02-26T04:16:00Z,26.00,74.00
2026-02-26T04:17:00Z,26.00,74.00
2026-02-26T04:18:00Z,26.00,74.00
2026-02-26T04:23:00Z,26.00,74.00
2026-02-26T04:24:00Z,26.00,74.00
2026-02-26T04:27:00Z,26.00,74.00
2026-02-26T04:29:00Z,26.00,74.00
2026-02-26T04:30:00Z,26.00,74.00
2026-02-26T04:32:00Z,26.00,74.00
2026-02-26T04:33:00Z,26.00,74.00
2026-02-26T04:34:00Z,26.00,74.00
2026-02-26T04:35:00Z,26.00,74.00
2026-02-26T04:38:00Z,26.00,74.00
2026-02-26T04:41:00Z,26.00,74.00
2026-02-26T04:46:00Z,26.00,74.00
2026-02-26T04:49:00Z,26.00,74.00
2026-02-26T04:52:00Z,26.00,74.00
2026-02-26T04:53:00Z,26.00,74.00
2026-02-26T04:55:00Z,26.00,74.00
2026-02-26T04:57:00Z,26.00,74.00
2026-02-26T04:59:00Z,26.08,74.00
2026-02-26T05:01:00Z,26.00,74.00
2026-02-26T05:05:00Z,26.00,74.00
2026-02-26T05:09:00Z,26.00,74.00
2026-02-26T05:11:00Z,26.00,74.00
2026-02-26T05:13:00Z,26.00,74.00
2026-02-26T05:15:00Z,26.00,74.00
2026-02-26T05:16:00Z,26.00,74.00
2026-02-26T05:17:00Z,26.93,74.00
2026-02-26T05:21:00Z,26.00,74.00
2026-02-26T05:23:00Z,26.00,74.00
2026-02-26T05:26:00Z,26.00,74.00
2026-02-26T05:27:00Z,26.00,74.00
2026-02-26T05:32:00Z,26.00,74.00
2026-02-26T05:33:00Z,26.00,74.00
2026-02-26T05:37:00Z,26.00,74.00
2026-02-26T05:39:00Z,26.00,74.00
2026-02-26T05:41:00Z,26.00,74.00
2026-02-26T05:48:00Z,26.00,74.00
2026-02-26T05:50:00Z,26.00,74.00
2026-02-26T05:51:00Z,26.00,74.00
2026-02-26T05:52:00Z,26.00,74.00
2026-02-26T05:56:00Z,26.00,74.00
2026-02-26T05:58:00Z,26.00,74.00
2026-02-26T06:00:00Z,26.00,74.00
2026-02-26T06:04:00Z,26.00,74.00
2026-02-26T06:05:00Z,26.00,74.00
2026-02-26T06:06:00Z,26.00,74.00
2026-02-26T06:07:00Z,25.98,75.00
2026-02-26T06:09:00Z,26.00,76.00
2026-02-26T06:10:00Z,26.00,76.00
2026-02-26T06:11:00Z,26.00,76.00
2026-02-26T06:12:00Z,26.00,76.00
2026-02-26T06:13:00Z,26.43,76.00
2026-02-26T06:14:00Z,27.00,76.00
2026-02-26T06:16:00Z,27.00,76.00
2026-02-26T06:18:00Z,27.00,76.00
2026-02-26T06:19:00Z,27.00,76.00
2026-02-26T06:20:00Z,27.00,76.00
2026-02-26T06:21:00Z,27.00,76.00
2026-02-26T06:22:00Z,27.00,76.00
2026-02-26T06:24:00Z,27.00,76.00
2026-02-26T06:25:00Z,27.00,76.00
2026-02-26T06:27:00Z,27.00,76.00
2026-02-26T06:28:00Z,27.00,76.00
2026-02-26T06:29:00Z,27.00,76.00
2026-02-26T06:30:00Z,27.00,76.00
2026-02-26T06:31:00Z,27.00,76.00
2026-02-26T06:32:00Z,27.00,76.00
2026-02-26T06:33:00Z,26.00,76.00
2026-02-26T06:35:00Z,27.00,76.00
2026-02-26T06:38:00Z,26.66,76.00
2026-02-26T06:40:00Z,27.00,76.00
2026-02-26T06:41:00Z,27.00,76.00
2026-02-26T06:46:00Z,27.00,76.00
2026-02-26T06:47:00Z,27.00,76.00
2026-02-26T06:48:00Z,26.00,76.00
2026-02-26T06:49:00Z,26.00,76.00
2026-02-26T06:53:00Z,26.00,76.00
2026-02-26T06:56:00Z,26.00,76.00
2026-02-26T06:58:00Z,26.00,76.00
2026-02-26T06:59:00Z,26.00,76.00
2026-02-26T07:00:00Z,26.00,76.00
2026-02-26T07:01:00Z,26.00,76.00
2026-02-26T07:02:00Z,26.00,76.00
2026-02-26T07:03:00Z,26.00,76.00
2026-02-26T07:06:00Z,26.00,76.00
2026-02-26T07:07:00Z,26.00,76.00
2026-02-26T07:08:00Z,26.00,76.00
2026-02-26T07:09:00Z,26.00,75.46
2026-02-26T07:10:00Z,26.00,75.46
2026-02-26T07:11:00Z,26.00,76.00
2026-02-26T07:12:00Z,26.00,76.00
2026-02-26T07:13:00Z,26.00,76.00
2026-02-26T07:14:00Z,26.00,76.00
2026-02-26T07:17:00Z,25.00,76.00
2026-02-26T07:20:00Z,25.00,76.00
2026-02-26T07:22:00Z,25.00,76.00
2026-02-26T07:23:00Z,25.85,76.00
2026-02-26T07:25:00Z,26.00,76.00
2026-02-26T07:33:00Z,26.00,76.00
2026-02-26T07:34:00Z,26.00,76.00
2026-02-26T07:40:00Z,26.00,75.00
2026-02-26T07:41:00Z,26.00,75.00
2026-02-26T07:43:00Z,26.00,75.00
2026-02-26T07:45:00Z,26.00,75.00
2026-02-26T07:47:00Z,26.00,75.00
2026-02-26T07:48:00Z,26.00,76.00
2026-02-26T07:51:00Z,26.00,76.00
2026-02-26T07:53:00Z,26.00,76.00
2026-02-26T07:55:00Z,26.00,76.00
2026-02-26T07:56:00Z,26.00,76.00
2026-02-26T07:58:00Z,26.00,76.00
2026-02-26T08:00:00Z,26.00,76.00
2026-02-26T10:08:00Z,26.00,76.00
2026-02-26T10:09:00Z,26.00,74.00
2026-02-26T10:19:00Z,25.30,74.00
2026-02-26T10:21:00Z,26.00,74.00
2026-02-26T10:24:00Z,26.00,76.00
2026-02-26T10:29:00Z,26.00,75.00
2026-02-26T10:30:00Z,26.00,75.00
2026-02-26T10:31:00Z,26.00,75.00
2026-02-26T10:37:00Z,26.00,75.00
2026-02-26T10:38:00Z,26.00,75.00
2026-02-26T10:40:00Z,26.00,75.00
2026-02-26T10:41:00Z,26.00,75.00
2026-02-26T10:42:00Z,26.00,75.00
2026-02-26T10:43:00Z,26.00,75.00
2026-02-26T10:50:00Z,26.00,75.00
2026-02-26T10:53:00Z,26.00,75.00
2026-02-26T10:54:00Z,26.00,75.00
2026-02-26T10:59:00Z,26.00,75.00
2026-02-26T11:00:00Z,26.00,75.00
2026-02-26T11:05:00Z,26.00,75.00
2026-02-26T11:06:00Z,26.00,75.00
2026-02-26T11:07:00Z,26.00,75.00
2026-02-26T11:09:00Z,26.00,75.00
2026-02-26T11:10:00Z,26.00,75.00
2026-02-26T11:13:00Z,26.00,75.00
2026-02-26T11:14:00Z,26.00,75.00
2026-02-26T11:16:00Z,26.00,75.00
2026-02-26T11:19:00Z,26.00,75.00
2026-02-26T11:23:00Z,26.00,75.00
2026-02-26T11:25:00Z,26.00,75.00
2026-02-26T11:26:00Z,26.00,75.00
2026-02-26T11:27:00Z,26.00,75.00
2026-02-26T11:30:00Z,26.00,75.00
2026-02-26T11:34:00Z,26.00,75.00
2026-02-26T11:38:00Z,26.00,75.00
2026-02-26T11:39:00Z,26.00,75.00
2026-02-26T11:41:00Z,26.00,75.00
2026-02-26T11:42:00Z,26.00,75.00
2026-02-26T11:46:00Z,26.00,75.00
2026-02-26T11:48:00Z,26.00,75.00
2026-02-26T11:49:00Z,26.00,75.00
2026-02-26T11:51:00Z,26.00,75.00
2026-02-26T11:52:00Z,25.87,75.00
2026-02-26T11:53:00Z,26.00,75.00
2026-02-26T11:57:00Z,26.00,75.00
2026-02-26T12:00:00Z,26.00,75.00
2026-02-26T12:03:00Z,26.00,75.00
2026-02-26T12:04:00Z,26.00,75.00
2026-02-26T12:07:00Z,26.00,75.00
2026-02-26T12:10:00Z,26.00,75.00
2026-02-26T12:11:00Z,26.00,75.00
2026-02-26T12:13:00Z,26.00,75.00
2026-02-26T12:17:00Z,26.00,75.00
2026-02-26T12:18:00Z,26.00,75.00
2026-02-26T12:20:00Z,26.00,75.00
2026-02-26T12:24:00Z,26.00,75.00
2026-02-26T12:25:00Z,26.00,75.00
2026-02-26T12:26:00Z,26.00,75.00
2026-02-26T12:29:00Z,26.00,75.00
2026-02-26T12:30:00Z,26.00,74.00
2026-02-26T12:31:00Z,26.00,74.00
2026-02-26T12:32:00Z,26.00,74.00
2026-02-26T12:34:00Z,26.00,74.00
2026-02-26T12:35:00Z,26.00,74.00
2026-02-26T12:36:00Z,26.00,75.00
2026-02-26T12:38:00Z,26.00,75.00
2026-02-26T12:42:00Z,26.00,75.00
2026-02-26T12:43:00Z,26.00,74.00
2026-02-26T12:46:00Z,26.00,74.00
2026-02-26T12:47:00Z,26.00,75.76
2026-02-26T12:49:00Z,26.00,76.00
2026-02-26T12:50:00Z,26.00,76.00
2026-02-26T12:51:00Z,26.00,76.00
2026-02-26T12:52:00Z,26.00,76.00
2026-02-26T12:53:00Z,26.00,76.00
2026-02-26T12:54:00Z,26.00,76.00
2026-02-26T12:55:00Z,26.00,76.00
2026-02-26T12:56:00Z,26.00,76.00
2026-02-26T12:57:00Z,26.00,76.00
2026-02-26T12:58:00Z,26.00,76.00
2026-02-26T13:00:00Z,26.00,76.00
2026-02-26T13:02:00Z,26.00,76.00
2026-02-26T13:03:00Z,26.00,74.00
2026-02-26T13:04:00Z,26.00,74.00
2026-02-26T13:06:00Z,26.00,74.00
2026-02-26T13:08:00Z,26.00,74.00
2026-02-26T13:09:00Z,26.00,74.00
2026-02-26T13:10:00Z,26.00,74.00
2026-02-26T13:12:00Z,26.00,76.00
2026-02-26T13:13:00Z,26.00,76.00
2026-02-26T13:15:00Z,26.00,76.00
2026-02-26T13:16:00Z,26.00,76.00
2026-02-26T13:20:00Z,26.00,76.00
2026-02-26T13:21:00Z,26.00,76.00
2026-02-26T13:23:00Z,26.00,76.00
2026-02-26T13:25:00Z,26.00,76.00
2026-02-26T13:26:00Z,26.00,76.00
2026-02-26T13:28:00Z,26.00,76.00
2026-02-26T13:29:00Z,26.00,76.00
2026-02-26T13:30:00Z,26.00,76.00
2026-02-26T13:31:00Z,26.00,76.00
2026-02-26T13:32:00Z,26.00,76.00
2026-02-26T13:33:00Z,26.00,75.00
2026-02-26T13:34:00Z,26.00,75.97
2026-02-26T13:38:00Z,26.00,75.97
2026-02-26T13:39:00Z,26.00,76.00
2026-02-26T13:40:00Z,26.00,76.00
2026-02-26T13:41:00Z,26.00,76.00
2026-02-26T13:42:00Z,26.00,76.00
2026-02-26T13:43:00Z,26.00,76.00
2026-02-26T13:44:00Z,26.00,76.00
2026-02-26T13:45:00Z,26.00,76.00
2026-02-26T13:47:00Z,26.00,76.00
2026-02-26T13:48:00Z,26.00,76.00
2026-02-26T13:49:00Z,26.00,76.00
2026-02-26T13:51:00Z,26.00,76.00
2026-02-26T13:52:00Z,26.00,76.00
2026-02-26T13:53:00Z,26.00,76.00
2026-02-26T13:54:00Z,26.00,76.00
2026-02-26T13:55:00Z,26.00,76.00
2026-02-26T13:56:00Z,26.00,76.00
2026-02-26T13:57:00Z,26.00,76.00
2026-02-26T13:58:00Z,26.00,76.00
2026-02-26T13:59:00Z,26.00,76.00
2026-02-26T14:00:00Z,26.00,76.00
2026-02-26T14:01:00Z,25.04,76.00
2026-02-26T14:02:00Z,25.04,76.00
2026-02-26T14:03:00Z,26.00,76.00
2026-02-26T14:04:00Z,26.00,76.00
2026-02-26T14:05:00Z,26.00,76.00
2026-02-26T14:06:00Z,26.00,75.00
2026-02-26T14:07:00Z,25.00,75.00
2026-02-26T14:08:00Z,25.00,75.10
2026-02-26T14:09:00Z,25.12,75.10
2026-02-26T14:10:00Z,26.00,75.10
2026-02-26T14:11:00Z,26.00,75.10
2026-02-26T14:12:00Z,26.00,75.10
2026-02-26T14:13:00Z,26.00,75.10
2026-02-26T14:14:00Z,26.00,75.10
2026-02-26T14:15:00Z,26.00,76.00
2026-02-26T14:16:00Z,25.00,76.00
2026-02-26T14:17:00Z,25.16,76.00
2026-02-26T14:18:00Z,26.00,76.00
2026-02-26T14:19:00Z,26.00,76.00
2026-02-26T14:20:00Z,26.00,76.00
2026-02-26T14:21:00Z,26.00,75.60
2026-02-26T14:22:00Z,26.00,75.60
2026-02-26T14:23:00Z,26.00,76.00
2026-02-26T14:24:00Z,26.00,75.00
2026-02-26T14:25:00Z,26.00,76.00
2026-02-26T14:26:00Z,26.00,76.00
2026-02-26T14:28:00Z,26.00,76.00
2026-02-26T14:29:00Z,26.00,76.00
2026-02-26T14:30:00Z,26.00,76.00
2026-02-26T14:32:00Z,26.00,76.00
2026-02-26T14:33:00Z,26.00,76.00
2026-02-26T14:35:00Z,25.00,76.00
2026-02-26T14:36:00Z,25.00,76.00
2026-02-26T14:38:00Z,25.00,76.00
2026-02-26T14:39:00Z,25.00,76.00
2026-02-26T14:40:00Z,25.00,76.00
2026-02-26T14:41:00Z,25.00,76.00
2026-02-26T14:42:00Z,25.00,76.00
2026-02-26T14:44:00Z,25.00,76.00
2026-02-26T14:45:00Z,25.01,76.00
2026-02-26T14:46:00Z,25.00,76.00
2026-02-26T14:47:00Z,25.00,76.00
2026-02-26T14:48:00Z,25.00,76.00
2026-02-26T14:49:00Z,25.00,76.00
2026-02-26T14:50:00Z,25.00,76.00
2026-02-26T14:51:00Z,25.00,76.00
2026-02-26T14:52:00Z,25.00,76.00
2026-02-26T14:53:00Z,25.00,76.00
2026-02-26T14:54:00Z,25.00,76.00
2026-02-26T14:55:00Z,25.00,76.00
2026-02-26T14:57:00Z,25.00,76.00
2026-02-26T14:58:00Z,25.00,76.00
2026-02-26T14:59:00Z,25.00,76.00
2026-02-26T15:00:00Z,25.00,76.00
2026-02-26T15:01:00Z,25.00,76.00
2026-02-26T15:02:00Z,25.00,76.00
2026-02-26T15:04:00Z,25.00,76.00
2026-02-26T15:05:00Z,25.00,76.00
2026-02-26T15:06:00Z,25.00,76.00
2026-02-26T15:07:00Z,25.00,76.00
2026-02-26T15:08:00Z,25.00,76.00
2026-02-26T15:09:00Z,25.00,76.00
2026-02-26T15:10:00Z,25.00,76.00
2026-02-26T15:11:00Z,25.00,76.00
2026-02-26T15:13:00Z,25.00,76.00
2026-02-26T15:14:00Z,25.00,76.00
2026-02-26T15:15:00Z,25.00,76.00
2026-02-26T15:17:00Z,25.00,76.00
2026-02-26T15:18:00Z,25.00,76.00
2026-02-26T15:19:00Z,25.00,76.00
2026-02-26T15:20:00Z,25.00,76.00
2026-02-26T15:21:00Z,25.00,76.00
2026-02-26T15:22:00Z,25.00,76.00
2026-02-26T15:24:00Z,25.00,76.00
2026-02-26T15:25:00Z,25.00,76.00
2026-02-26T15:26:00Z,25.00,76.00
2026-02-26T15:27:00Z,25.00,76.00
2026-02-26T15:28:00Z,25.00,76.00
2026-02-26T15:29:00Z,25.00,76.00
2026-02-26T15:30:00Z,25.00,76.00
2026-02-26T15:31:00Z,25.00,76.00
2026-02-26T15:32:00Z,25.00,76.00
2026-02-26T15:33:00Z,25.00,76.00
2026-02-26T15:34:00Z,25.00,76.00
2026-02-26T15:35:00Z,25.00,76.00
2026-02-26T15:36:00Z,25.00,76.00
2026-02-26T15:38:00Z,25.00,76.00
2026-02-26T15:39:00Z,25.00,76.00
2026-02-26T15:40:00Z,25.00,76.00
2026-02-26T15:42:00Z,25.00,76.00
2026-02-26T15:43:00Z,25.00,76.00
2026-02-26T15:44:00Z,25.00,76.00
2026-02-26T15:45:00Z,25.00,76.00
2026-02-26T15:46:00Z,24.00,76.00
2026-02-26T15:47:00Z,25.00,76.00
2026-02-26T15:48:00Z,25.00,76.00
2026-02-26T15:49:00Z,25.00,76.00
2026-02-26T15:50:00Z,25.00,76.00
2026-02-26T15:51:00Z,25.00,76.00
2026-02-26T15:52:00Z,25.00,76.00
2026-02-26T15:53:00Z,25.00,76.00
2026-02-26T15:54:00Z,25.00,76.00
2026-02-26T15:55:00Z,25.57,76.00
2026-02-26T15:56:00Z,26.00,76.00
2026-02-26T15:57:00Z,26.00,76.00
2026-02-26T15:58:00Z,26.00,76.00
2026-02-26T15:59:00Z,26.00,76.00
2026-02-26T16:00:00Z,26.00,76.00
2026-02-26T16:01:00Z,26.00,75.22
2026-02-26T16:02:00Z,26.00,76.00
2026-02-26T16:03:00Z,26.00,76.00
2026-02-26T16:04:00Z,26.00,76.00
2026-02-26T16:05:00Z,26.00,76.00
2026-02-26T16:06:00Z,26.00,76.00
2026-02-26T16:08:00Z,26.00,76.00
2026-02-26T16:09:00Z,26.00,76.00
2026-02-26T16:10:00Z,26.00,76.00
2026-02-26T16:11:00Z,26.00,76.00
2026-02-26T16:12:00Z,26.00,76.00
2026-02-26T16:13:00Z,25.48,76.00
2026-02-26T16:14:00Z,26.00,76.00
2026-02-26T16:16:00Z,26.00,75.00
2026-02-26T16:17:00Z,26.00,75.00
2026-02-26T16:18:00Z,26.00,75.00
2026-02-26T16:19:00Z,26.00,76.00
2026-02-26T16:20:00Z,26.00,76.00
2026-02-26T16:21:00Z,26.00,76.00
2026-02-26T16:22:00Z,26.00,76.00
2026-02-26T16:23:00Z,26.00,76.00
2026-02-26T16:24:00Z,26.00,76.00
2026-02-26T16:25:00Z,26.00,75.00
2026-02-26T16:26:00Z,26.00,75.00
2026-02-26T16:27:00Z,26.00,75.00
2026-02-26T16:28:00Z,26.00,75.00
2026-02-26T16:29:00Z,26.00,75.00
2026-02-26T16:30:00Z,26.00,76.00
2026-02-26T16:31:00Z,26.00,76.00
2026-02-26T16:32:00Z,26.00,76.00
2026-02-26T16:33:00Z,26.00,76.00
2026-02-26T16:34:00Z,26.00,76.00
2026-02-26T16:35:00Z,26.00,76.00
2026-02-26T16:36:00Z,26.00,76.00
2026-02-26T16:37:00Z,26.00,76.00
2026-02-26T16:38:00Z,26.00,75.99
2026-02-26T16:39:00Z,26.00,75.99
2026-02-26T16:40:00Z,26.00,75.70
2026-02-26T16:41:00Z,26.00,75.00
2026-02-26T16:42:00Z,26.00,75.00
2026-02-26T16:43:00Z,26.00,76.00
2026-02-26T16:44:00Z,26.00,76.00
2026-02-26T16:45:00Z,26.00,76.00
2026-02-26T16:46:00Z,26.00,76.00
2026-02-26T16:47:00Z,25.00,76.00
2026-02-26T16:48:00Z,26.00,76.00
2026-02-26T16:50:00Z,26.00,76.00
2026-02-26T16:51:00Z,26.00,76.00
2026-02-26T16:52:00Z,26.00,76.00
2026-02-26T16:53:00Z,26.00,75.00
2026-02-26T16:54:00Z,26.00,76.00
2026-02-26T16:55:00Z,26.00,76.00
2026-02-26T16:56:00Z,26.00,76.00
2026-02-26T16:57:00Z,26.00,76.00
2026-02-26T16:58:00Z,26.00,76.00
2026-02-26T16:59:00Z,26.00,76.00
2026-02-26T17:00:00Z,26.00,76.00
2026-02-26T17:01:00Z,26.00,76.00
2026-02-26T17:02:00Z,26.00,76.00
2026-02-26T17:03:00Z,26.00,76.00
2026-02-26T17:04:00Z,26.00,76.00
2026-02-26T17:05:00Z,26.00,76.00
2026-02-26T17:06:00Z,26.00,76.00
2026-02-26T17:07:00Z,26.00,76.00
2026-02-26T17:08:00Z,26.00,76.00
2026-02-26T17:09:00Z,26.00,76.00
2026-02-26T17:10:00Z,26.00,76.00
2026-02-26T17:11:00Z,26.00,75.00
2026-02-26T17:12:00Z,26.00,76.00
2026-02-26T17:13:00Z,26.00,76.00
2026-02-26T17:14:00Z,26.00,76.00
2026-02-26T17:16:00Z,26.00,76.00
2026-02-26T17:17:00Z,26.00,76.00
2026-02-26T17:18:00Z,26.00,76.00
2026-02-26T17:19:00Z,26.00,76.00
2026-02-26T17:20:00Z,26.00,76.00
2026-02-26T17:21:00Z,26.00,76.00
2026-02-26T17:22:00Z,26.00,75.00
2026-02-26T17:23:00Z,26.00,76.00
2026-02-26T17:24:00Z,26.00,76.00
2026-02-26T17:25:00Z,26.00,76.00
2026-02-26T17:26:00Z,26.00,76.00
2026-02-26T17:27:00Z,25.87,75.12
2026-02-26T17:28:00Z,26.00,76.00
2026-02-26T17:29:00Z,26.00,76.00
2026-02-26T17:30:00Z,26.00,76.00
2026-02-26T17:31:00Z,26.00,76.00
2026-02-26T17:33:00Z,26.00,76.00
2026-02-26T17:34:00Z,26.00,76.00
2026-02-26T17:35:00Z,26.00,76.00
2026-02-26T17:36:00Z,26.00,76.00
2026-02-26T17:37:00Z,26.00,76.00
2026-02-26T17:38:00Z,26.00,76.00
2026-02-26T17:39:00Z,26.00,76.00
2026-02-26T17:40:00Z,26.00,76.00
2026-02-26T17:41:00Z,26.00,76.00
2026-02-26T17:42:00Z,26.00,76.00
2026-02-26T17:43:00Z,26.00,76.00
2026-02-26T17:44:00Z,26.00,76.00
2026-02-26T17:45:00Z,26.00,75.76
2026-02-26T17:46:00Z,25.99,76.00
2026-02-26T17:47:00Z,26.00,76.00
2026-02-26T17:48:00Z,26.00,76.00
2026-02-26T17:49:00Z,26.00,76.00
2026-02-26T17:50:00Z,26.00,76.00
2026-02-26T17:51:00Z,26.00,76.00
2026-02-26T17:52:00Z,26.00,76.00
2026-02-26T17:53:00Z,26.00,76.00
2026-02-26T17:54:00Z,26.00,76.00
2026-02-26T17:55:00Z,26.00,76.00
2026-02-26T17:56:00Z,26.00,76.00
2026-02-26T17:57:00Z,26.00,76.00
2026-02-26T17:58:00Z,26.00,76.00
2026-02-26T17:59:00Z,26.00,76.00
2026-02-26T18:00:00Z,26.00,76.00
2026-02-26T18:01:00Z,26.00,76.00
2026-02-26T18:02:00Z,26.00,76.00
2026-02-26T18:03:00Z,26.00,76.00
2026-02-26T18:04:00Z,26.00,76.00
2026-02-26T18:05:00Z,26.00,76.00
2026-02-26T18:06:00Z,26.00,76.00
